,Unnamed: 0,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,lon,lat
20,21,CERTIFIED-WITHDRAWN,"CUDDLE BARN, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER (COO),Y,117998.0,2016.0,"COMMERCE, CALIFORNIA",-118.1597929,34.0005691
21,22,CERTIFIED-WITHDRAWN,WESTFIELD CORPORATION,CHIEF EXECUTIVES,"GENERAL MANAGER, OPERATIONS",Y,164050.0,2016.0,"LOS ANGELES, CALIFORNIA",-118.24368490000002,34.0522342
22,23,CERTIFIED,"LOMICS, LLC",CHIEF EXECUTIVES,CEO,Y,99986.0,2016.0,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
23,24,CERTIFIED,UC UNIVERSITY HIGH SCHOOL EDUCATION INC.,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,99986.0,2016.0,"CHULA VISTA, CALIFORNIA",-117.0841955,32.6400541
24,25,CERTIFIED-WITHDRAWN,VMS COMMUNICATIONS LLC,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,159370.0,2016.0,"MIAMI, FLORIDA",-80.1917902,25.7616798
25,26,CERTIFIED,"QUICKLOGIX, INC.",CHIEF EXECUTIVES,CEO,Y,187200.0,2016.0,"SANTA CLARA, CALIFORNIA",-121.9552356,37.354107899999995
26,27,CERTIFIED-WITHDRAWN,FOODESSENTIALS CORPORATION,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,130853.0,2016.0,"CHICAGO, ILLINOIS",-87.62979820000001,41.8781136
27,28,CERTIFIED,HELLO INC.,CHIEF EXECUTIVES,CHIEF BUSINESS OFFICER,Y,215862.0,2016.0,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
28,29,CERTIFIED,UMBEL CORP,CHIEF EXECUTIVES,VICE PRESIDENT OF ENGINEERING,Y,192088.0,2016.0,"AUSTIN, TEXAS",-97.7430608,30.267153000000004
29,30,CERTIFIED,"PERSPECTIVES OF FREEDOM FOUNDATION, INC",CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,95295.98,2016.0,"WESTON, FLORIDA",-80.3997748,26.100365399999998
30,31,CERTIFIED,GTH INC.,CHIEF EXECUTIVES,"VICE PRESIDENT, BUSINESS DEVELOPMENT",Y,149594.0,2016.0,"WASHINGTON, DISTRICT OF COLUMBIA",-77.03687070000001,38.9071923
31,32,CERTIFIED,THE KRAFT HEINZ COMPANY,CHIEF EXECUTIVES,HEAD OF US SALES,Y,226699.0,2016.0,"CHICAGO, ILLINOIS",-87.62979820000001,41.8781136
32,33,CERTIFIED,"REGED, INC.",CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,187200.0,2016.0,"MORRISVILLE, NORTH CAROLINA",-78.8255621,35.823483
33,34,CERTIFIED,VMS COMMUNICATIONS LLC,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,159370.0,2016.0,"MIAMI, FLORIDA",-80.1917902,25.7616798
34,35,CERTIFIED,"FINLAY EXTRACTS & INGREDIENTS USA, INC.",CHIEF EXECUTIVES,VICE PRESIDENT OF OPERATIONS,Y,98550.0,2016.0,"LINCOLN, RHODE ISLAND",-71.4418101,41.911012299999996
35,36,CERTIFIED-WITHDRAWN,LABEL INSIGHT,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,130853.0,2016.0,"CHICAGO, ILLINOIS",-87.62979820000001,41.8781136
36,37,CERTIFIED,LABEL INSIGHT,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,130853.0,2016.0,"CHICAGO, ILLINOIS",-87.62979820000001,41.8781136
37,38,CERTIFIED,INN AT THE WICKLIFFE LLC,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,52416.0,2016.0,"WICKLIFFE, OHIO",-81.45344920000001,41.6053266
38,39,CERTIFIED,"DURHAM SCHOOL SERVICES, LP",CHIEF EXECUTIVES,"VICE PRESIDENT, FINANCE AND OPERATIONS ANALYSIS",Y,130853.0,2016.0,"WARRENVILLE, ILLINOIS",-88.17340209999999,41.817807
39,40,DENIED,"PARALLELS, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200.0,2016.0,"RENTON, WASHINGTON",-122.21706609999998,47.4828776
40,41,CERTIFIED,CB LANSING 300 LLP,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,89107.0,2016.0,"LANSING, MICHIGAN",-84.55553470000001,42.732535
41,42,CERTIFIED,"SOFTTEK INTEGRATION SYSTEMS, INC.",CHIEF EXECUTIVES,ACCOUNT DIRECTOR,Y,130853.0,2016.0,"NORTHBROOK, ILLINOIS",-87.82895479999999,42.127526700000004
42,43,CERTIFIED,"SPARITY, INC.",CHIEF EXECUTIVES,TECHNICAL DIRECTOR,Y,102190.0,2016.0,"ALPHARETTA, GEORGIA",-84.2940899,34.07537620000001
43,44,CERTIFIED,"ADCONION DIRECT, INC.",CHIEF EXECUTIVES,VICE PRESIDENT OF OPERATIONS,Y,197683.0,2016.0,"SOLANA BEACH, CALIFORNIA",-117.27114809999999,32.991155
44,45,CERTIFIED,MAVENCARE US INC.,CHIEF EXECUTIVES,SVP BUSINESS OPERATIONS AND DEVELOPMENT,Y,122179.0,2016.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
45,46,CERTIFIED,"THE CHICAGO ATHENAEUM: CENTER FOR ARCHITECTURE, DESIGN & URBAN STUDIES",CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,N,54766.0,2016.0,"GALENA, ILLINOIS",,
46,47,CERTIFIED,MED ADVANTAGE LLC,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,187200.0,2016.0,"BLOOMFIELD, NEW JERSEY",-74.1854209,40.806754600000005
47,48,DENIED,RANCHO LA PUERTA LLC,CHIEF EXECUTIVES,PRESIDENT,Y,197683.2,2016.0,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
48,49,CERTIFIED,"STRATEGISM, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,155459.2,2016.0,"FREMONT, CALIFORNIA",-121.98857190000001,37.548269700000006
49,50,CERTIFIED,RANCHO LA PUERTA LLC,CHIEF EXECUTIVES,PRESIDENT,Y,197683.2,2016.0,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
50,51,CERTIFIED,SPRING BRANCH COMMUNITY HEALTH CENTER,CHIEF EXECUTIVES,CHIEF MEDICAL OFFICER,Y,187200.0,2016.0,"KATY, TEXAS",-95.82439559999999,29.7857853
51,52,CERTIFIED,SPRING BRANCH COMMUNITY HEALTH CENTER,CHIEF EXECUTIVES,CHIEF MEDICAL OFFICER,Y,187200.0,2016.0,"HOUSTON, TEXAS",-95.36980279999999,29.7604267
52,53,CERTIFIED,"PAXTERRA SOLUTIONS, INC.",CHIEF EXECUTIVES,"ASSISTANT VICE PRESIDENT, BUSINESS DEVELOPMENT",Y,102190.0,2016.0,"JOHNS CREEK, GEORGIA",-84.19857900000001,34.0289259
53,54,CERTIFIED,"PARALLELS, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200.0,2016.0,"RENTON, WASHINGTON",-122.21706609999998,47.4828776
54,55,CERTIFIED,VARIANTYX INC.,CHIEF EXECUTIVES,CHIEF INFORMATION OFFICER,Y,164403.0,2016.0,"ASHLAND, MASSACHUSETTS",,
55,56,CERTIFIED,NATURAL AMERICAN FOODS INC.,CHIEF EXECUTIVES,VICE PRESIDENT OF QUALITY,Y,145829.0,2016.0,"ONSTED, MICHIGAN",,
56,57,CERTIFIED,"STRATEGISM, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,155459.2,2016.0,"FREMONT, CALIFORNIA",-121.98857190000001,37.548269700000006
57,58,CERTIFIED,NATURAL AMERICAN FOODS INC.,CHIEF EXECUTIVES,VICE PRESIDENT OF QUALITY,Y,145829.0,2016.0,"ONSTED, MICHIGAN",,
58,59,CERTIFIED,"PRONTO GENERAL AGENCY, LTD.",CHIEF EXECUTIVES,PRESIDENT,Y,161179.0,2016.0,"BROWNSVILLE, TEXAS",-97.4974838,25.9017472
59,60,CERTIFIED,CENTRAL OCEANS USA LLC,CHIEF EXECUTIVES,PRESIDENT & CHIEF EXECUTIVE OFFICER,Y,187075.0,2016.0,"CHARLOTTESVILLE, VIRGINIA",-78.4766781,38.029305900000004
60,61,CERTIFIED-WITHDRAWN,"AMPED, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,187200.0,2016.0,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
61,62,CERTIFIED,"SENSORHOUND, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER AND RESEARCH SCIENTIST,Y,76752.0,2016.0,"WEST LAFAYETTE, INDIANA",-86.9080655,40.4258686
62,63,CERTIFIED,"UNDER ARMOUR, INC.",CHIEF EXECUTIVES,"SR. DIRECTOR, BUSINESS PERFORMANCE MANAGEMENT",Y,137966.0,2016.0,"BALTIMORE, MARYLAND",-76.6121893,39.2903848
63,64,CERTIFIED,MAX PLANCK FLORIDA CORPORATION,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,187200.0,2016.0,"JUPITER, FLORIDA",-80.09420870000001,26.934224600000004
64,65,CERTIFIED,MAX PLANCK FLORIDA CORPORATION,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,226616.0,2016.0,"JUPITER, FLORIDA",-80.09420870000001,26.934224600000004
65,66,CERTIFIED,"FISERV AUTOMOTIVE SOLUTIONS, INC.",CHIEF EXECUTIVES,"PRESIDENT, LENDING SOLUTIONS",Y,221541.0,2016.0,"LAKE MARY, FLORIDA",-81.3178446,28.758883299999997
66,67,CERTIFIED,"HBN MEDIA, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,198266.0,2016.0,"MARIETTA, GEORGIA",-84.5499327,33.952602
67,68,CERTIFIED,ADVENTIST HEALTH SYSTEM SUNBELT,CHIEF EXECUTIVES,REGIONAL CHIEF MEDICAL INFORMATION OFFICER,Y,221541.0,2016.0,"ALTAMONTE SPRINGS, FLORIDA",-81.36562420000001,28.6611089
68,69,CERTIFIED,CENTRAL OCEANS USA LLC,CHIEF EXECUTIVES,PRESIDENT &AMP; CHIEF EXECUTIVE OFFICER,Y,187075.0,2016.0,"CHARLOTTESVILLE, VIRGINIA",-78.4766781,38.029305900000004
69,70,WITHDRAWN,SANTA ROSA MEMORIAL HOSPITAL,CHIEF EXECUTIVES,CHIEF MEDICAL INFORMATICS OFFICER,Y,234457.6,2016.0,"SANTA ROSA, CALIFORNIA",-122.7140548,38.440428999999995
70,71,CERTIFIED,"MAP HEALTH MANAGEMENT , LLC",CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,202634.0,2016.0,"MECHANICSBURG, PENNSYLVANIA",-77.0085876,40.2142565
71,72,CERTIFIED,SANTA ROSA MEMORIAL HOSPITAL,CHIEF EXECUTIVES,CHIEF MEDICAL INFORMATION OFFICER,Y,234457.6,2016.0,"SANTA ROSA, CALIFORNIA",-122.7140548,38.440428999999995
72,73,CERTIFIED,BENEFUEL INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200.0,2016.0,"IRVING, TEXAS",-96.9488945,32.814017699999994
73,74,CERTIFIED,RIVIAN AUTOMOTIVE LLC,CHIEF EXECUTIVES,CHIEF STRATEGY OFFICER,Y,194875.0,2016.0,"LIVONIA, MICHIGAN",-83.3527097,42.36837
74,75,CERTIFIED,UNIVERSITY AT ALBANY,CHIEF EXECUTIVES,DIRECTOR,Y,75293.0,2016.0,"ALBANY, NEW YORK",-73.7562317,42.65257929999999
75,76,CERTIFIED,ARICENT US INC.,CHIEF EXECUTIVES,"PRESIDENT, COMMUNICATIONS",Y,253448.0,2016.0,"NAPLES, FLORIDA",-81.7948103,26.142035800000002
76,77,WITHDRAWN,UNIVERSAL CITY STUDIOS PRODUCTION LLLP,CHIEF EXECUTIVES,"SENIOR DIRECTOR, RIDE AND SHOW",Y,178942.0,2016.0,"ORLANDO, FLORIDA",-81.3792365,28.5383355
77,78,CERTIFIED,"ALWAYS BELIEVE PLUS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,106246.4,2016.0,"OAKLAND, CALIFORNIA",-122.27111370000002,37.8043637
78,79,CERTIFIED,"ZEETOGROUP, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER (CEO),Y,246522.0,2016.0,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
79,80,WITHDRAWN,HARIBOO FOOD 2004 INC,CHIEF EXECUTIVES,VP MARKETING (IMPORT/EXPORT),Y,159369.6,2016.0,"HIALEAH, FLORIDA",-80.2781057,25.8575963
80,81,CERTIFIED,HARIBOO FOOD 2004 INC,CHIEF EXECUTIVES,VP MARKETING (IMPORT/EXPORT,Y,159369.6,2016.0,"HIALEAH, FLORIDA",-80.2781057,25.8575963
81,82,WITHDRAWN,"OAK STREET HEALTH MSO, LLC",CHIEF EXECUTIVES,CHIEF INNOVATION OFFICER & SENIOR VP OF CLINICAL SYSTEMS,Y,178776.0,2016.0,"CHICAGO, ILLINOIS",-87.62979820000001,41.8781136
82,83,CERTIFIED,"OAK STREET HEALTH MSO, LLC",CHIEF EXECUTIVES,CHIEF INNOVATION OFFICER & SENIOR VP OF CLINICAL SYSTEMS,Y,178776.0,2016.0,"CHICAGO, ILLINOIS",-87.62979820000001,41.8781136
83,84,CERTIFIED,TOTAL CIVIL CONSTRUCTION & ENGINEERING LLC,CHIEF EXECUTIVES,VICE PRESIDENT,Y,103480.0,2016.0,"LANHAM, MARYLAND",-76.8620327,38.9685112
84,85,CERTIFIED,FYBR LLC,CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,151507.0,2016.0,"CHESTERFIELD, MISSOURI",-90.5770675,38.6631083
85,86,CERTIFIED,TOTAL CIVIL CONSTRUCTION & ENGINEERING LLC,CHIEF EXECUTIVES,VICE PRESIDENT,Y,103480.0,2016.0,"LANHAM, MARYLAND",-76.8620327,38.9685112
86,87,CERTIFIED,"GREENLAM AMERICA, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,159370.0,2016.0,"DORAL, FLORIDA",-80.3553302,25.8195424
87,88,CERTIFIED,UNIVERSAL CITY STUDIOS PRODUCTION LLLP,CHIEF EXECUTIVES,"SENIOR DIRECTOR, RIDE AND SHOW",Y,178942.0,2016.0,"ORLANDO, FLORIDA",-81.3792365,28.5383355
88,89,CERTIFIED,CLARKE CAPITAL PARTNERS LLC,CHIEF EXECUTIVES,MANAGING DIRECTOR - TECHNOLOGY,Y,159370.0,2016.0,"MIAMI, FLORIDA",-80.1917902,25.7616798
89,90,CERTIFIED,"RINA SYSTEMS, LLC",CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,155958.0,2016.0,"CINCINNATI, OHIO",-84.5120196,39.103118200000004
90,91,CERTIFIED,ZYKA FOODS INC.,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,117998.0,2016.0,"CARSON, CALIFORNIA",-118.28169299999999,33.8316745
91,92,DENIED,EAGLE MINE LLC,CHIEF EXECUTIVES,GENERAL MANAGER,Y,116334.0,2016.0,"CHAMPION, MICHIGAN",,
92,93,CERTIFIED,EAGLE MINE LLC,CHIEF EXECUTIVES,GENERAL MANAGER,Y,116334.0,2016.0,"CHAMPION, MICHIGAN",,
93,94,CERTIFIED,"CALIFORNIA MASTERPLANT, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,85051.0,2016.0,"TRACY, CALIFORNIA",-121.42522269999999,37.7396513
94,95,CERTIFIED,HARBAR LLC,CHIEF EXECUTIVES,CFO & VP BUSINESS DEVELOPMENT,Y,254821.0,2016.0,"CANTON, MASSACHUSETTS",-71.1447732,42.158432399999995
95,96,DENIED,BAKER & MCKENZIE PC,CHIEF EXECUTIVES,PRINCIPAL (ATTORNEY) AND CHAIRMAN OF THE EXECUTIVE COMMITTEE,Y,226699.0,2016.0,"CHICAGO, ILLINOIS",-87.62979820000001,41.8781136
96,97,CERTIFIED,"ARUZE GAMING AMERICA, INC.",CHIEF EXECUTIVES,VICE PRESIDENT OF CORPORATE STRATEGY,Y,82514.0,2016.0,"LAS VEGAS, NEVADA",-115.13982959999998,36.169941200000004
97,98,CERTIFIED,SD MANAGEMENT GROUP LLC,CHIEF EXECUTIVES,CHIEF SUSTAINABILITY OFFICER,N,17264.0,2016.0,"CHARLOTTESVILLE, VIRGINIA",-78.4766781,38.029305900000004
98,99,DENIED,"MANITOWOC FSG OPERATIONS, LLC",CHIEF EXECUTIVES,VP DIGITAL STRATEGY,Y,202363.0,2016.0,"NEW PORT RICHEY, FLORIDA",-82.7192671,28.244176799999998
99,100,CERTIFIED,"BON WORTH, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,125424.0,2016.0,"HENDERSONVILLE, NORTH CAROLINA",,
100,101,CERTIFIED,"ASHLEY HOMESTORES, LTD.",CHIEF EXECUTIVES,"EXECUTIVE VICE PRESIDENT, BRAND DEVELOPMENT",Y,158038.0,2016.0,"BRANDON, FLORIDA",-82.2859247,27.937801
101,102,CERTIFIED,"BARFRESH, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,164050.0,2016.0,"BEVERLY HILLS, CALIFORNIA",-118.40035630000001,34.073620399999996
102,103,CERTIFIED,ROBERTSON FOUNDATION,CHIEF EXECUTIVES,PRESIDENT AND CHIEF EXECUTIVE OFFICER,Y,233418.0,2016.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
103,104,CERTIFIED,KIS USA LLC,CHIEF EXECUTIVES,VICE PRESIDENT,Y,163966.0,2016.0,"PEMBROKE PINES, FLORIDA",-80.2962555,26.007765
104,105,CERTIFIED,ONMOBILE USA LLC,CHIEF EXECUTIVES,SENIOR VP - GLOBAL CONTENT AND MULTI-MEDIA STRATEGY,Y,210122.0,2016.0,"SANTA MONICA, CALIFORNIA",-118.4911912,34.01945429999999
105,106,WITHDRAWN,BAKER & MCKENZIE PC,CHIEF EXECUTIVES,PRINCIPAL (ATTORNEY) AND CHAIRMAN OF THE EXECUTIVE COMMITTEE,Y,226699.0,2016.0,"CHICAGO, ILLINOIS",-87.62979820000001,41.8781136
106,107,CERTIFIED,BAKER & MCKENZIE PC,CHIEF EXECUTIVES,PRINCIPAL (ATTORNEY) AND CHAIRMAN OF THE EXECUTIVE COMMITTEE,Y,226699.0,2016.0,"CHICAGO, ILLINOIS",-87.62979820000001,41.8781136
107,108,CERTIFIED,"CORO INVESTMENTS, LP",CHIEF EXECUTIVES,"VICE PRESIDENT, USA OPERATIONS",Y,103480.0,2016.0,"RESTON, VIRGINIA",-77.35700279999999,38.9586307
108,109,CERTIFIED,"AMERICAN REFINING GROUP, INC.",CHIEF EXECUTIVES,SENIOR VICE PRESIDENT OF OPERATIONS,Y,202738.0,2016.0,"BRADFORD, PENNSYLVANIA",,
109,110,CERTIFIED-WITHDRAWN,MARY HITCHCOCK MEMORIAL HOSPITAL,CHIEF EXECUTIVES,VICE PRESIDENT OF FINANCE - INTEGRATED DELIVERY SYSTEM,Y,212618.0,2016.0,"LEBANON, NEW HAMPSHIRE",-72.2517569,43.6422934
110,111,DENIED,TMS PLUMBING AND HEATING CORP,CHIEF EXECUTIVES,OPERATIONS DIRECTOR,Y,74276.8,2016.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
111,112,CERTIFIED,"NEWLINK COMMUNICATIONS GROUP, LLC",CHIEF EXECUTIVES,VICE PRESIDENT OF BUSINESS DEVELOPMENT,Y,113090.0,2016.0,"MIAMI, FLORIDA",-80.1917902,25.7616798
112,113,DENIED,BENYOUCEF LLC,CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,72800.0,2016.0,"BATON ROUGE, LOUISIANA",-91.1403196,30.458282899999997
113,114,CERTIFIED,99TH AVENUE HOLDINGS LLC,CHIEF EXECUTIVES,CHIEF EXECUTIVE OF FITNESS MANAGEMENT,Y,187200.0,2016.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
114,115,CERTIFIED,"ASTELLAS PHARMA US, INC.",CHIEF EXECUTIVES,"EXECUTIVE DIRECTOR, INTERNATIONAL BUSINESS",Y,226699.0,2016.0,"NORTHBROOK, ILLINOIS",-87.82895479999999,42.127526700000004
115,116,CERTIFIED,STRYKER CORPORATION,CHIEF EXECUTIVES,"VP, GLOBAL IT GOVERNANCE & PERFORMANCE MEASUREMENT",Y,189862.0,2016.0,"KALAMAZOO, MICHIGAN",-85.5872286,42.291706899999994
116,117,CERTIFIED-WITHDRAWN,"MANITOWOC FSG OPERATIONS, LLC",CHIEF EXECUTIVES,VP DIGITAL STRATEGY,Y,202363.0,2016.0,"NEW PORT RICHEY, FLORIDA",-82.7192671,28.244176799999998
117,118,CERTIFIED,NORTHWELL HEALTH,CHIEF EXECUTIVES,VP INTERNATIONAL BUSINESS DEVELOPMENT,Y,252429.0,2016.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
118,119,CERTIFIED,HARIBO FOOD 2004 INC,CHIEF EXECUTIVES,VP MARKETING (IMPORT/EXPORT),Y,159369.6,2016.0,"HIALEAH, FLORIDA",-80.2781057,25.8575963
119,120,CERTIFIED,UGAM SOLUTIONS SEZ PVT. LTD,CHIEF EXECUTIVES,ASSISTANT VICE PRESIDENT,Y,102190.0,2016.0,"ATLANTA, GEORGIA",-84.3879824,33.7489954
120,121,CERTIFIED,"PREVEIL, LLC",CHIEF EXECUTIVES,CHIEF TECHNICAL OFFICER,Y,155459.2,2016.0,"BERKELEY, CALIFORNIA",-122.272747,37.87159260000001
121,122,CERTIFIED,AMERICAN PUBLIC TRANSPORTATION ASSOCIATION,CHIEF EXECUTIVES,CHIEF OF STAFF,Y,195728.0,2016.0,"WASHINGTON, DISTRICT OF COLUMBIA",-77.03687070000001,38.9071923
122,123,CERTIFIED,FARADAY&FUTURE INC,CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,256173.0,2016.0,"GARDENA, CALIFORNIA",-118.30896240000001,33.8883487
123,124,CERTIFIED,MILK SPECIALTIES GLOBAL,CHIEF EXECUTIVES,"VICE PRESIDENT, INTERNATIONAL SALES, HUMAN NUTRITION",Y,146300.0,2016.0,"EDEN PRAIRIE, MINNESOTA",-93.470786,44.8546856
124,125,DENIED,MILK SPECIALTIES GLOBAL,CHIEF EXECUTIVES,"VICE PRESIDENT, INTERNATIONAL SALES, HUMAN NUTRITION",Y,146300.0,2016.0,"EDEN PRAIRIE, MINNESOTA",-93.470786,44.8546856
